Timestamp,Milliseconds,X,Y,Z
2018-09-15 19:27:25,872,9.389435,6.139984,-1.7491608
2018-09-15 19:27:25,882,11.648254,6.0873413,-4.2257233
2018-09-15 19:27:25,892,12.832703,5.522629,-4.4195404
2018-09-15 19:27:25,903,12.928421,6.130417,-1.4117584
2018-09-15 19:27:25,912,11.330017,5.9437714,-0.34457397
2018-09-15 19:27:25,922,9.449265,5.01297,1.105484
2018-09-15 19:27:25,932,6.632904,4.5726776,2.383255
2018-09-15 19:27:25,942,4.675583,3.8955078,2.096115
2018-09-15 19:27:25,952,2.8570251,3.385849,3.2374878
2018-09-15 19:27:25,963,1.7946167,3.7447662,5.230713
2018-09-15 19:27:25,972,1.0959167,3.7040863,7.0085754
2018-09-15 19:27:25,982,1.529007,3.6179504,8.429916
2018-09-15 19:27:25,993,2.3282166,3.7328033,7.9417725
2018-09-15 19:27:25,1002,3.5653076,3.7328033,6.972687
2018-09-15 19:27:25,1012,6.8362885,4.749756,6.0562286
2018-09-15 19:27:25,1022,11.961716,5.6063843,-1.2681885
2018-09-15 19:27:25,1032,14.423935,4.5966187,-4.5679016
2018-09-15 19:27:25,1043,17.273788,4.0701904,-5.235489
2018-09-15 19:27:25,1052,16.515259,4.9507446,-4.0175476
2018-09-15 19:27:25,1062,15.122635,5.2570343,-3.1657104
2018-09-15 19:27:25,1072,14.297119,5.0823517,-3.0149536
2018-09-15 19:27:25,1083,12.564713,4.89093,-4.82872
2018-09-15 19:27:25,1092,10.092926,4.6301117,-6.989441
2018-09-15 19:27:25,1102,7.4560394,4.2831573,-6.496521
2018-09-15 19:27:25,1112,5.046463,4.060623,-3.7591248
2018-09-15 19:27:25,1123,1.1557312,2.926422,3.275772
2018-09-15 19:27:25,1132,-0.447464,2.268402,6.02034
2018-09-15 19:27:25,1142,-2.4095764,1.5122681,13.679764
2018-09-15 19:27:26,1152,-0.31825256,2.2157593,15.82135
2018-09-15 19:27:26,1163,2.321045,1.9908295,13.373489
2018-09-15 19:27:26,1172,4.819153,1.8999023,10.430313
2018-09-15 19:27:26,1182,9.767502,2.244461,5.95813
2018-09-15 19:27:26,1192,11.339584,2.170288,4.0773773
2018-09-15 19:27:26,1203,13.048065,2.4406738,3.3308105
2018-09-15 19:27:26,1212,14.873779,3.3068848,2.0315094
2018-09-15 19:27:26,1222,15.464813,3.7016907,0.028717041
2018-09-15 19:27:26,1232,14.407181,4.125229,-0.37806702
2018-09-15 19:27:26,1242,12.074188,4.503296,-0.8805542
2018-09-15 19:27:26,1254,8.578262,4.3453674,-0.33738708
2018-09-15 19:27:26,1262,6.9391785,4.484146,0.75613403
2018-09-15 19:27:26,1272,4.125229,4.536789,3.7423706
2018-09-15 19:27:26,1282,0.25602722,2.5579224,8.453842
2018-09-15 19:27:26,1293,0.023925781,1.8879395,9.891922
2018-09-15 19:27:26,1302,0.95951843,1.8664093,10.604996
2018-09-15 19:27:26,1312,3.8883362,2.1224365,10.750946
2018-09-15 19:27:26,1322,9.607178,4.532013,9.949356
2018-09-15 19:27:26,1332,15.936203,6.5108643,-1.2538452
